Línea;Codigo;Descripción;Nivel
ALIMENTOS CONCENTRADOS RAZA;19071;MUESTRA DELICAT 150GR;1,1
ALIMENTOS CONCENTRADOS RAZA;4;MUESTRA DELICACHORROS 150GR;1,1
ALIMENTOS CONCENTRADOS RAZA;10;MUESTRA SUPERCAN CROQUETAS 150GR;1,1
TECNOQUIMICAS SA;13;EXHIBIDOR DISPENSADOR WINNY;1,1
TECNOQUIMICAS SA;14;EXHIBIDOR  PAÑAL;1,1
PFIZER CONSUMER HEALTCHARE;19;OBS FRUTINO 2L MORA DULCE *10;3
HENKEL COLOMBIANA SAS;31;OBSEQUIO IG VIT 1-0 TUBO-NEGRO;3
HENKEL COLOMBIANA SAS;35;OBSEQUIO PALETTE 1-0 NEGRO TUBO*50GR;3
HENKEL COLOMBIANA SAS;36;OBSEQUIO PALETTE 8-0 RUBIO CLARO TUBO*50GR;3
LABORATORIOS NATURAL FRESHLY;39;OBS BOMBONERA MIELTERTOS;3
COLOMBINA;46;OBSEQUIO BBB INSTITUCIONAL*6UND;2
J&J DE COLOMBIA SA;49;OBS CAREFREE PROT*60;3
HENKEL COLOMBIANA SAS;58;OBS GEL ATRACTION POWER TIRA*8UND 27GR;3
ALDOR;64;OBS ARBOLITO EXHIBIDOR PIN POP;2
KELLOGG DE COLOMBIA;65;OBS NUCITA*6UDS;
OBSEQUIO;70;OBS BBB SURTIDO*24 UDS;2
PFIZER CONSUMER HEALTCHARE;71;OBS ATUN VAN CAMPS ACEITE*160GR;1,2
COLOMBINA;74;OBS PASTA LA MUNECA SPAGUETTI *250GR;3
HENKEL COLOMBIANA SAS;76;OBSEQUIO IG VIT 1-0 TUBO-NEGRO;3
COLOMBINA;78;OBS TERMO FRUTICAS;2
INVERSIONES VADISA SOCIEDAD POR ACCIONES SIMPLIFICADA;79;3 UDS BOLIG NEGRO OE-071F SG;3
PFIZER CONSUMER HEALTCHARE;80;OBS LECHE RODEO BOLSA*175GR;
KELLOGG DE COLOMBIA;81;OBS AGUA BRISA 600ML;
KELLOGG DE COLOMBIA;82;OBS COCA COLA EN LATA*330 ML;3
COLOMBINA;83;OBSEQUIO 1LB ARROZ ROA*500GR;3
COMESTIBLES ITALO SA;84;OBS MILO SOBRE 50GR;
PFIZER CONSUMER HEALTCHARE;85;OBS PAPEL HIGIENICO FAMILIA*4UDS;3
PFIZER CONSUMER HEALTCHARE;86;OBS PAN HARINA BLANCA*1000GR;1,2
COLOMBINA;87;OBS BOMBONERA;2
TECNOQUIMICAS SA;88;PRODUCTO COMODIN;3
DISBRUCIONES NENITA;99;ARROZ ROA*500GR;3
NO DEFINIDO;123;APOYO DE MERCADEO;
LABORATORIOS NATURAL FRESHLY;1002;REPELENTE MOSQUITOS NNOS SPRAY CITRON*120ML;3
LABORATORIOS NATURAL FRESHLY;1003;JABON REPELENTE *50GR FLY FREE CON CITRONE;3
LABORATORIOS NATURAL FRESHLY;A;REPELENTE MOSQUITOS SPRAY CITRONEL*120ML;3
LABORATORIOS NATURAL FRESHLY;a;MIELTERT0S GRIPA DIA NARANJA*25UNDS BOMBONERA;3
LABORATORIOS NATURAL FRESHLY;1006;MIELTERTOS GRIPA NOCHE LIMON *25UND BOMBONERA;3
LABORATORIOS NATURAL FRESHLY;1007;COLAGENO HIDROLIZADO*12 SOBR;3
LABORATORIOS NATURAL FRESHLY;1008;MIELTERTAS PASTIL MASTICABLES*25 SOB+BOMBONERA;3
LABORATORIOS NATURAL FRESHLY;1009;MIELTERTOS GRIPA DIA NARANJA PANELA*6UNDS;3
LABORATORIOS NATURAL FRESHLY;1010;MIELTERTOS GRIPA NOCHE PANELA LIMON*6 SOBRES;3
LABORATORIOS NATURAL FRESHLY;1011;MIELTERTOS MENTHOLYPTUS MASTICAB*12 SOBRES;3
LABORATORIOS NATURAL FRESHLY;1012;VINAGRE DE MANZANA FR*750ML;3
LABORATORIOS NATURAL FRESHLY;1014;ACTIVOX ICE JENGIBRE-MENTHOLYPTUS MASTIC*12SOB;3
LABORATORIOS NATURAL FRESHLY;1016;MIELTERTOS MIEL TOTUM SAUCO EUCALIPTO*240ML;3
LABORATORIOS NATURAL FRESHLY;1017;CRE-C GOMAS MASTIC*25 SOB+BOMBONERA;3
LABORATORIOS NATURAL FRESHLY;1018;JABON BARRA ANTIBAC *90;3
LABORATORIOS NATURAL FRESHLY;1022;MIELTERTOS NINOS *180ML;3
LABORATORIOS NATURAL FRESHLY;1023;ACTIVOX JENGIBRE DURAZNO*6 SOBRES;3
LABORATORIOS NATURAL FRESHLY;1024;ACTIVOX JENGIBRE LIMON*6 SOBRES;3
LABORATORIOS NATURAL FRESHLY;1025;ACTIVOX JENGIBRE UVA MORA SILVESTRE*6 SOB;3
LABORATORIOS NATURAL FRESHLY;1027;VINAGRE DE MANZANA FR*375ML;3
COLOMBIANA DE COMERCIO CORBETA;1036;SALVO LIQUIDO LIMON*300ML;1,3
COLOMBIANA DE COMERCIO CORBETA;1037;SALVO LIQUIDO LIMON*500ML;1,3
COLOMBIANA DE COMERCIO CORBETA;1043;KIT H&S 1DISP LR+SM+COCO*18ML 12%DCTO;3
COLOMBIANA DE COMERCIO CORBETA;1046;H&S SH ACEITE COCO 180ML;3
COLOMBIANA DE COMERCIO CORBETA;1047;ARIEL AROMA ORIGINAL *125GR;1,3
COLOMBIANA DE COMERCIO CORBETA;1049;3 ARIEL *400+50GR P.E.;1,3
COLOMBIANA DE COMERCIO CORBETA;1050;RINDEX 10 FRESCURA SUAVISAN *500GR;1,3
COLOMBIANA DE COMERCIO CORBETA;1051;CEPILLO ORAL B KIDS MICKEY;3
LABORATORIOS NATURAL FRESHLY;1052;COLICORT 500MG*12 CAPSULAS;
ALIMENTOS CONCENTRADOS RAZA;1102;RAZA CORRAL PONEDORA *1K;1,1
ALIMENTOS CONCENTRADOS RAZA;1104;RAZA CORRAL LEVANTE *1K;1,1
ALIMENTOS CONCENTRADOS RAZA;1106;SUPERCAN CROQUETAS *15K;1,1
ALIMENTOS CONCENTRADOS RAZA;1109;SUPERCAN DELI CACHORROS 1.5KG;1,1
ALIMENTOS CONCENTRADOS RAZA;1110;SUPERCAN CROQUETAS *4K;1,1
ALIMENTOS CONCENTRADOS RAZA;1111;SUPERCAN CACHORROS *500GR;1,1
