Codigo;;Descripción;;;;;;;;;;;;;;;;;Venta;;;;;Cargue;;Precio;;;;;Precio
ALDOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1218;;TROLLI GOMAS MAGENTA SUR*24 BANAN-MORDISC+OINK+EMOCION;;;;;;;;;;;;;;;;;1;;;;;1-0;;21432,376;;;;;21432,376
COLOMBINA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19071;;BON BON BUM FRESA INTENSA*24 UND;;;;;;;;;;;;;;;;;15;;;;;1-0;;6049,783599;;;;;90746,75398
19072;;BON BON BUM SURTIDO*24 UND;;;;;;;;;;;;;;;;;15;;;;;1-0;;6049,783599;;;;;90746,75398
19800;;CAPRI VAINILLA EMP LAMINADO 24 UDS*12G;;;;;;;;;;;;;;;;;24;;;;;1-0;;4317,796;;;;;103627,104
19086;;CHOCOBREAK & COOKIES*30UN;;;;;;;;;;;;;;;;;4;;;;;0-4;;4863,6728;;;;;19454,6912
19317;;CHOCOBREAK HUEVITOS*30UND;;;;;;;;;;;;;;;;;4;;;;;0-4;;4667,9178;;;;;18671,6712
19083;;CHOCOBREAK TRADICIONAL*50UN;;;;;;;;;;;;;;;;;4;;;;;0-4;;7075,145;;;;;28300,58
19066;;COLOMBINETA COOKIES AND CREAM*24 UND;;;;;;;;;;;;;;;;;10;;;;;0-10;;5727,232;;;;;57272,32
19243;;CRAKEÑAS DORADITAS 126G *4TACOS;;;;;;;;;;;;;;;;;9;;;;;0-9;;7131,075;;;;;64179,675
19242;;CRAKEÑAS SALTIN 106G *4TACOS;;;;;;;;;;;;;;;;;9;;;;;0-9;;4222,715;;;;;38004,435
19828;;FRUTICAS CARAMELO BLANDO*100UND;;;;;;;;;;;;;;;;;8;;;;;0-8;;5949,8334;;;;;47598,6672
19011;;FRUTICAS CRUJI MASTICABLE *100 UND;;;;;;;;;;;;;;;;;8;;;;;0-8;;6222,7718;;;;;49782,1744
19198;;MAX COCO WAFER BRIDGE 46G *10UND;;;;;;;;;;;;;;;;;12;;;;;1-0;;9273,194;;;;;111278,328
19824;;MAYONESA DISPL*85GR*12UNDS;;;;;;;;;;;;;;;;;1;;;;;0-1;;8107,6128;;;;;8107,6128
19533;;MORDISQUETA MARACUYA*24UN;;;;;;;;;;;;;;;;;4;;;;;0-4;;5726,1134;;;;;22904,4536
19065;;MORDISQUETAS RON CON PASAS*24 UND;;;;;;;;;;;;;;;;;4;;;;;0-4;;5726,1134;;;;;22904,4536
19212;;MUUU CREMADA ACHOCOLATADA 33GR *12UN;;;;;;;;;;;;;;;;;2;;;;;0-2;;5463,2424;;;;;10926,4848
19213;;MUUU CREMADA AVENA LECHE 33GR *12UN;;;;;;;;;;;;;;;;;2;;;;;0-2;;5463,2424;;;;;10926,4848
19210;;MUUU CREMADA YOGUR FRESA 33GR *12UN;;;;;;;;;;;;;;;;;3;;;;;0-3;;5463,2424;;;;;16389,7272
19346;;MUUU CREMADA YOGURT MORA*12UNDS;;;;;;;;;;;;;;;;;3;;;;;0-3;;5463,2424;;;;;16389,7272
19270;;MUUU GALLETA LECHE *18UNDS;;;;;;;;;;;;;;;;;30;;;;;1-0;;3166,7566;;;;;95002,698
19090;;NUCITA CREM CAL DISP*18UN;;;;;;;;;;;;;;;;;16;;;;;1-0;;7607,5986;;;;;121721,5776
19058;;PIRULITO SURTIDO*24 UND;;;;;;;;;;;;;;;;;10;;;;;0-10;;3237,2284;;;;;32372,284
19059;;PIRULITO SURTIDO*48 UND;;;;;;;;;;;;;;;;;10;;;;;0-10;;6361,4782;;;;;63614,782
19132;;SALSA BARBECUE*85G;;;;;;;;;;;;;;;;;12;;;;;0-12;;733,8016;;;;;8805,6192
19843;;SALSA ROSADA DISPL*85GR*12UNDS;;;;;;;;;;;;;;;;;2;;;;;0-2;;11731,8768;;;;;23463,7536
19179;;SPLOT ACID EN LINEA 5*24UN;;;;;;;;;;;;;;;;;8;;;;;0-8;;6349,1736;;;;;50793,3888
19442;;SPLOT DIVERTATOO2*120UN VERDE;;;;;;;;;;;;;;;;;4;;;;;0-4;;10297,8316;;;;;41191,3264
19180;;SPLOT TATTOO*120UN ROJO;;;;;;;;;;;;;;;;;4;;;;;0-4;;10297,8316;;;;;41191,3264
19372;;TIPITIN LECHE*50UNDS;;;;;;;;;;;;;;;;;5;;;;;0-5;;3660,0592;;;;;18300,296
19310;;TIPITIN SALVAJE *50UNDS *6GR;;;;;;;;;;;;;;;;;5;;;;;0-5;;4771,9476;;;;;23859,738
19485;;TIPITIN UNICORNIO*50UND;;;;;;;;;;;;;;;;;5;;;;;0-5;;4771,9476;;;;;23859,738
